"","state","month","tot_cases","tot_death","State.name","Average.temperature..","Anomaly..","X1901.2000.Monthly.Mean..","Region","M_Rate","relative_temp"
"1","AZ","01",20405824,342158,"Arizona",42.6,1.9,40.7,"South West","1.68%","medium"
"2","AZ","02",22264556,415253,"Arizona",46.5,1.8,44.7,"South West","1.87%","medium"
"3","AZ","03",25816901,513713,"Arizona",49.4,-0.1,49.5,"South West","1.99%","medium"
"4","AZ","04",25572822,514118,"Arizona",61.2,4.5,56.7,"South West","2.01%","medium"
"5","AZ","05",27055010,541764,"Arizona",67.9,2.9,65,"South West","2%","medium"
"6","AZ","06",26637732,533733,"Arizona",80.6,6.2,74.4,"South West","2%","high"
"7","AZ","07",28139084,560683,"Arizona",81.5,1.8,79.7,"South West","1.99%","high"
"8","AZ","08",30040257,573548,"Arizona",79.5,1.7,77.8,"South West","1.91%","high"
"9","AZ","09",31702901,581550,"Arizona",74.8,2.8,72,"South West","1.83%","high"
"10","AZ","10",35083636,638141,"Arizona",59.9,-1.1,61,"South West","1.82%","medium"
"11","AZ","11",36608071,652061,"Arizona",55.8,6.6,49.2,"South West","1.78%","medium"
"12","AZ","12",41126043,723274,"Arizona",45.6,4.1,41.5,"South West","1.76%","medium"
"13","CT","01",6900960,204066,"Connecticut",29.2,3.8,25.4,"North East","2.96%","low"
"14","CT","02",7518722,207285,"Connecticut",28.5,2.2,26.3,"North East","2.76%","low"
"15","CT","03",9132906,241425,"Connecticut",39.3,3.9,35.4,"North East","2.64%","low"
"16","CT","04",9813751,239715,"Connecticut",48.7,2.7,46,"North East","2.44%","medium"
"17","CT","05",10686190,253536,"Connecticut",57.8,1,56.8,"North East","2.37%","medium"
"18","CT","06",10455874,247888,"Connecticut",69.2,3.8,65.4,"North East","2.37%","medium"
"19","CT","07",10884966,256766,"Connecticut",71.1,0.4,70.7,"North East","2.36%","high"
"20","CT","08",11275121,257881,"Connecticut",72.8,4.2,68.6,"North East","2.29%","high"
"21","CT","09",11472676,253955,"Connecticut",65.2,3.7,61.5,"North East","2.21%","medium"
"22","CT","10",12315251,269885,"Connecticut",56.8,5.8,51,"North East","2.19%","medium"
"23","CT","11",12324716,264775,"Connecticut",41,0.8,40.2,"North East","2.15%","medium"
"24","CT","12",14150773,279497,"Connecticut",37,7.8,29.2,"North East","1.98%","low"
"25","FL","01",47332795,809001,"Florida ",58.7,0.9,57.8,"South East","1.71%","medium"
"26","FL","02",50274510,860757,"Florida ",63.7,4.3,59.4,"South East","1.71%","medium"
"27","FL","03",60508527,1031307,"Florida ",67.8,3.8,64,"South East","1.7%","medium"
"28","FL","04",63503972,1047897,"Florida ",69.9,0.6,69.3,"South East","1.65%","high"
