State name,Month,Average temperature(),Anomaly(),1901.2000 Monthly Mean(),State.abbreviation,Region
Massachussets,12,36,7.9,28.1,MA,North East
Massachussets,11,40.8,1.6,39.2,MA,North East
Massachussets,10,56.3,6.3,50,MA,North East
Massachussets,09,64.8,4.4,60.4,MA,North East
Massachussets,08,72.7,5.2,67.5,MA,North East
Massachussets,07,69.8,0.1,69.7,MA,North East
Massachussets,06,69.2,4.8,64.4,MA,North East
Massachussets,05,57.6,1.9,55.7,MA,North East
Massachussets,04,47.8,3.1,44.7,MA,North East
Massachussets,03,38.3,4.1,34.2,MA,North East
Massachussets,02,27.6,2.6,25,MA,North East
Massachussets,01,28.8,4.7,24.1,MA,North East
Pennsylvania,12,37.6,8.7,28.9,PA,North East
Pennsylvania,11,39,-0.3,39.3,PA,North East
Pennsylvania,10,57.7,7.1,50.6,PA,North East
Pennsylvania,09,64.3,2.6,61.7,PA,North East
Pennsylvania,08,72.6,4.2,68.4,PA,North East
Pennsylvania,07,71.2,0.8,70.4,PA,North East
Pennsylvania,06,68.6,2.6,66,PA,North East
Pennsylvania,05,57,-0.6,57.6,PA,North East
Pennsylvania,04,49.4,2.6,46.8,PA,North East
Pennsylvania,03,40.7,4.9,35.8,PA,North East
Pennsylvania,02,26.6,0.1,26.5,PA,North East
Pennsylvania,01,29.4,4.1,25.3,PA,North East
Connecticut,12,37,7.8,29.2,CT,North East
Connecticut,11,41,0.8,40.2,CT,North East
Connecticut,10,56.8,5.8,51,CT,North East
Connecticut,09,65.2,3.7,61.5,CT,North East
Connecticut,08,72.8,4.2,68.6,CT,North East
Connecticut,07,71.1,0.4,70.7,CT,North East
Connecticut,06,69.2,3.8,65.4,CT,North East
Connecticut,05,57.8,1,56.8,CT,North East
Connecticut,04,48.7,2.7,46,CT,North East
Connecticut,03,39.3,3.9,35.4,CT,North East
Connecticut,02,28.5,2.2,26.3,CT,North East
Connecticut,01,29.2,3.8,25.4,CT,North East
Louisiana,12,62.4,11.5,50.9,LA,South East
Louisiana,11,56.4,-1,57.4,LA,South East
Louisiana,10,71.7,4.2,67.5,LA,South East
Louisiana,09,76.9,-0.3,77.2,LA,South East
Louisiana,08,82.6,1,81.6,LA,South East
Louisiana,07,81.8,-0.1,81.9,LA,South East
Louisiana,06,80.4,0.6,79.8,LA,South East
Louisiana,05,72.3,-1.1,73.4,LA,South East
Louisiana,04,64.7,-1.6,66.3,LA,South East
Louisiana,03,62.2,3.2,59,LA,South East
Louisiana,02,47.8,-4.6,52.4,LA,South East
Louisiana,01,50.6,1.3,49.3,LA,South East
Florida ,12,66.5,7.7,58.8,FL,South East
Florida ,11,63.4,-0.9,64.3,FL,South East
Florida ,10,75.3,3,72.3,FL,South East
Florida ,09,79.7,0.6,79.1,FL,South East
Florida ,08,82.6,1.5,81.1,FL,South East
Florida ,07,81.9,0.9,81,FL,South East
Florida ,06,80.7,1.2,79.5,FL,South East
Florida ,05,76.1,1,75.1,FL,South East
Florida ,04,69.9,0.6,69.3,FL,South East
Florida ,03,67.8,3.8,64,FL,South East
Florida ,02,63.7,4.3,59.4,FL,South East
Florida ,01,58.7,0.9,57.8,FL,South East
Mississippi,12,58.6,11.8,46.8,MS,South East
Mississippi,11,52.7,-1.2,53.9,MS,South East
Mississippi,10,68.3,3.9,64.4,MS,South East
Mississippi,09,74.8,-0.3,75.1,MS,South East
Mississippi,08,80.8,0.6,80.2,MS,South East
Mississippi,07,80.4,-0.4,80.8,MS,South East
Mississippi,06,78.1,-0.2,78.3,MS,South East
Mississippi,05,69.9,-1.4,71.3,MS,South East
Mississippi,04,61.8,-1.8,63.6,MS,South East
Mississippi,03,60,4.4,55.6,MS,South East
Mississippi,02,44.2,-4.1,48.3,MS,South East
Mississippi,01,46.6,1.5,45.1,MS,South East
